0	52	137
0	70	200
1	34	1079
2	62	18
3	26	398
4	55	840
5	34	982
6	41	60
6	12	201
6	23	220
6	64	628
7	23	131
7	43	292
8	74	35
9	23	193
9	59	829
9	51	1568
10	61	319
10	64	419
11	63	441
12	89	1261
13	45	408
14	37	569
15	21	142
15	49	241
16	74	1035
17	83	326
18	69	571
18	48	810
19	80	258
19	21	514
20	31	132
22	38	183
22	35	215
22	75	418
24	87	1046
25	38	427
26	81	856
27	44	208
28	49	592
29	34	24
29	74	123
29	69	140
29	70	377
30	82	235
30	47	237
30	37	999
31	73	451
32	43	14
33	74	68
35	56	31
36	46	284
36	56	513
36	57	899
38	47	144
38	58	343
39	78	676
40	80	111
41	79	1113
42	44	1227
44	45	322
44	49	601
45	73	148
45	68	586
47	67	136
47	63	412
47	53	910
50	82	295
53	81	995
54	75	8
55	65	251
55	73	572
58	78	410
60	87	378
60	71	403
60	70	511
61	66	179
62	74	546
63	85	904
64	88	116
64	77	214
67	80	62
72	83	647
74	86	460
75	87	187
75	84	316
76	82	587
83	88	56
87	88	81
