54	75	8
32	43	14
2	62	18
29	34	24
35	56	31
8	74	35
83	88	56
6	41	60
67	80	62
33	74	68
87	88	81
40	80	111
64	88	116
29	74	123
7	23	131
20	31	132
47	67	136
0	52	137
29	69	140
15	21	142
38	47	144
45	73	148
61	66	179
22	38	183
75	87	187
9	23	193
0	70	200
6	12	201
27	44	208
64	77	214
22	35	215
6	23	220
30	82	235
30	47	237
15	49	241
55	65	251
19	80	258
36	46	284
7	43	292
50	82	295
75	84	316
10	61	319
44	45	322
17	83	326
38	58	343
29	70	377
60	87	378
3	26	398
60	71	403
13	45	408
58	78	410
47	63	412
22	75	418
10	64	419
25	38	427
11	63	441
31	73	451
74	86	460
60	70	511
36	56	513
19	21	514
62	74	546
14	37	569
18	69	571
55	73	572
45	68	586
76	82	587
28	49	592
44	49	601
6	64	628
72	83	647
39	78	676
18	48	810
9	59	829
4	55	840
26	81	856
36	57	899
63	85	904
47	53	910
5	34	982
53	81	995
30	37	999
16	74	1035
24	87	1046
1	34	1079
41	79	1113
42	44	1227
12	89	1261
9	51	1568
