19	20	4
9	48	6
15	40	7
19	24	18
18	28	24
16	47	35
53	68	50
5	64	60
38	62	63
2	51	70
42	53	73
15	44	78
35	54	82
36	63	88
0	41	90
1	13	102
24	31	113
5	38	117
26	37	124
23	49	129
29	51	130
27	63	134
5	51	144
42	57	145
13	28	155
38	57	160
53	59	169
7	32	201
11	20	222
2	24	223
32	46	230
8	45	238
40	68	243
10	61	250
52	56	251
24	58	253
53	54	266
60	66	278
26	42	290
9	45	294
23	53	301
13	47	311
4	37	343
2	6	376
33	62	384
50	64	388
27	31	397
45	64	420
1	30	435
3	25	440
37	52	476
0	1	488
47	53	510
3	64	523
8	66	560
17	37	588
3	7	641
39	65	645
10	65	702
43	47	720
51	61	726
14	23	729
29	67	746
41	69	772
21	47	844
30	34	850
3	55	898
22	31	1183
12	24	1238
