0	53	115
1	58	35
1	67	150
1	57	274
2	15	579
3	5	362
4	22	71
4	62	595
4	73	1479
5	66	533
5	22	534
5	47	555
5	75	873
6	54	171
7	78	728
8	76	13
8	49	33
8	64	147
8	9	429
9	34	96
9	63	455
10	53	600
11	37	157
12	71	85
13	77	10
13	31	75
13	64	170
14	62	267
14	36	393
14	70	475
15	46	208
16	41	4
17	23	64
17	52	241
18	27	29
18	72	329
19	79	726
20	74	494
20	23	745
21	68	477
21	26	611
24	43	62
24	60	721
25	66	537
25	78	643
27	31	813
28	70	807
29	30	260
29	57	774
32	68	358
33	59	204
33	69	344
33	38	366
34	54	97
34	53	667
35	48	289
36	59	42
37	45	49
38	46	87
39	65	767
40	71	72
40	61	347
41	79	81
42	76	610
43	44	361
45	63	549
48	50	324
48	64	624
49	71	276
51	65	130
52	67	53
54	55	539
55	60	292
56	63	197
57	77	224
59	79	70
63	70	400
65	68	117
65	77	389
