0	20	804
1	134	16
1	68	193
1	97	653
2	140	49
2	119	198
2	4	325
3	98	398
3	39	416
3	56	463
4	29	23
4	49	219
5	17	22
5	31	194
5	139	316
5	21	728
6	22	50
6	24	132
7	119	166
8	138	29
9	12	61
9	145	68
9	94	134
10	123	528
11	87	501
12	77	62
12	136	216
13	96	851
13	76	865
13	74	1029
14	37	956
15	72	113
15	115	143
15	123	254
16	60	6
16	32	378
16	51	459
18	139	131
18	47	159
18	35	749
19	58	276
19	102	395
19	104	441
19	57	757
20	65	255
20	66	430
20	116	763
20	127	779
21	75	764
22	54	524
22	62	687
23	62	31
23	40	520
24	94	129
25	136	275
25	138	330
25	43	364
26	44	182
27	130	43
27	141	69
27	47	106
27	140	142
28	33	34
28	77	80
28	72	303
29	144	40
29	112	112
29	86	549
30	103	108
30	117	160
32	67	279
32	125	333
33	70	38
34	121	124
34	55	211
35	101	658
36	95	5
36	131	386
37	120	26
38	56	1078
39	72	78
41	90	237
41	49	745
42	132	377
42	54	448
44	102	214
45	51	280
46	109	450
47	79	1209
48	89	355
50	52	74
51	118	164
52	131	410
53	54	494
54	126	609
55	147	119
55	80	155
55	73	716
57	137	359
58	114	21
58	66	120
58	130	314
59	64	945
60	61	102
63	87	433
63	122	534
64	90	705
66	134	169
67	89	462
68	93	66
69	96	81
71	147	72
75	107	735
77	89	197
78	95	571
81	135	676
82	120	163
83	120	916
84	134	58
84	92	331
85	105	210
85	102	243
86	120	111
87	102	746
87	128	970
88	122	1247
89	108	1026
91	110	127
93	149	253
96	140	186
97	113	540
99	140	223
100	105	357
104	135	561
106	148	984
109	142	678
110	123	128
111	142	260
112	129	1122
115	149	273
115	148	363
115	117	457
117	143	205
119	142	309
121	139	88
124	127	655
131	147	293
133	134	24
139	146	904
