36	95	5
16	60	6
1	134	16
58	114	21
5	17	22
4	29	23
133	134	24
37	120	26
8	138	29
23	62	31
28	33	34
33	70	38
29	144	40
27	130	43
2	140	49
6	22	50
84	134	58
9	12	61
12	77	62
68	93	66
9	145	68
27	141	69
71	147	72
50	52	74
39	72	78
28	77	80
69	96	81
121	139	88
60	61	102
27	47	106
30	103	108
86	120	111
29	112	112
15	72	113
55	147	119
58	66	120
34	121	124
91	110	127
110	123	128
24	94	129
18	139	131
6	24	132
9	94	134
27	140	142
15	115	143
55	80	155
18	47	159
30	117	160
82	120	163
51	118	164
7	119	166
66	134	169
26	44	182
96	140	186
1	68	193
5	31	194
77	89	197
2	119	198
117	143	205
85	105	210
34	55	211
44	102	214
12	136	216
4	49	219
99	140	223
41	90	237
85	102	243
93	149	253
15	123	254
20	65	255
111	142	260
115	149	273
25	136	275
19	58	276
32	67	279
45	51	280
131	147	293
28	72	303
119	142	309
58	130	314
5	139	316
2	4	325
25	138	330
84	92	331
32	125	333
48	89	355
100	105	357
57	137	359
115	148	363
25	43	364
42	132	377
16	32	378
36	131	386
19	102	395
3	98	398
52	131	410
3	39	416
20	66	430
63	87	433
19	104	441
42	54	448
46	109	450
115	117	457
16	51	459
67	89	462
3	56	463
53	54	494
11	87	501
23	40	520
22	54	524
10	123	528
63	122	534
97	113	540
29	86	549
104	135	561
78	95	571
54	126	609
1	97	653
124	127	655
35	101	658
81	135	676
109	142	678
22	62	687
64	90	705
55	73	716
5	21	728
75	107	735
41	49	745
87	102	746
18	35	749
19	57	757
20	116	763
21	75	764
20	127	779
0	20	804
13	96	851
13	76	865
139	146	904
83	120	916
59	64	945
14	37	956
87	128	970
106	148	984
89	108	1026
13	74	1029
38	56	1078
112	129	1122
47	79	1209
88	122	1247
